     istep   total_energy_diff     max_eigval_diff      max_delta_diff                 miu
       213    2.8853797549E-11    7.1293004833E-10    1.1087471522E-07   -4.7388832855E-01
       214    2.8381165900E-11    7.0203598490E-10    1.0914943986E-07   -4.7388832850E-01
       215    2.7901473136E-11    6.9130501323E-10    1.0745107011E-07   -4.7388832846E-01
       216    2.7439954061E-11    6.8073557902E-10    1.0577918638E-07   -4.7388832841E-01
       217    2.6983528248E-11    6.7032351891E-10    1.0413337557E-07   -4.7388832837E-01
       218    2.6539025301E-11    6.6006744515E-10    1.0251323105E-07   -4.7388832833E-01
       219    2.6100541665E-11    6.4996574789E-10    1.0091835233E-07   -4.7388832829E-01
       220    2.5667035536E-11    6.4001520750E-10    9.9348345465E-08   -4.7388832825E-01
       221    2.5244873492E-11    6.3021449170E-10    9.7802822643E-08   -4.7388832821E-01
       222    2.4821669644E-11    6.2056093597E-10    9.6281401695E-08   -4.7388832817E-01
       223    2.4421616992E-11    6.1105270843E-10    9.4783706960E-08   -4.7388832813E-01
       224    2.4013808689E-11    6.0168736660E-10    9.3309368233E-08   -4.7388832809E-01
       225    2.3616418424E-11    5.9246291206E-10    9.1858021324E-08   -4.7388832805E-01
       226    2.3228751662E-11    5.8337756847E-10    9.0429307544E-08   -4.7388832802E-01
       227    2.2850692645E-11    5.7442872681E-10    8.9022874039E-08   -4.7388832798E-01
       228    2.2467424609E-11    5.6561560990E-10    8.7638373025E-08   -4.7388832795E-01
       229    2.2107770792E-11    5.5693477607E-10    8.6275462762E-08   -4.7388832791E-01
       230    2.1741981909E-11    5.4838539265E-10    8.4933806376E-08   -4.7388832788E-01
       231    2.1382675360E-11    5.3996540572E-10    8.3613072122E-08   -4.7388832784E-01
       232    2.1026609978E-11    5.3167242831E-10    8.2312934161E-08   -4.7388832781E-01
       233    2.0693001256E-11    5.2350435098E-10    8.1033070887E-08   -4.7388832777E-01
       234    2.0353025955E-11    5.1546039659E-10    7.9773166267E-08   -4.7388832774E-01
       235    2.0010040999E-11    5.0753784508E-10    7.8532908909E-08   -4.7388832771E-01
       236    1.9698078644E-11    4.9973564176E-10    7.7311992495E-08   -4.7388832768E-01
       237    1.9360997243E-11    4.9205106656E-10    7.6110115313E-08   -4.7388832765E-01
       238    1.9059221414E-11    4.8448334233E-10    7.4926980407E-08   -4.7388832762E-01
       239    1.8743786380E-11    4.7703080375E-10    7.3762295479E-08   -4.7388832759E-01
       240    1.8439695431E-11    4.6969067524E-10    7.2615772824E-08   -4.7388832756E-01
       241    1.8131668780E-11    4.6246279028E-10    7.1487129080E-08   -4.7388832753E-01
       242    1.7837301333E-11    4.5534337412E-10    7.0376085549E-08   -4.7388832750E-01
       243    1.7555088264E-11    4.4833281532E-10    6.9282367563E-08   -4.7388832747E-01
       244    1.7261299598E-11    4.4142878242E-10    6.8205705124E-08   -4.7388832744E-01
       245    1.6989967590E-11    4.3462988764E-10    6.7146125494E-08   -4.7388832742E-01
       246    1.6707175742E-11    4.2793407706E-10    6.6104392659E-08   -4.7388832739E-01
       247    1.6443715141E-11    4.2134012945E-10    6.5078903972E-08   -4.7388832736E-01
       248    1.6166479579E-11    4.1484665703E-10    6.4069406044E-08   -4.7388832734E-01
       249    1.5914710331E-11    4.0845254956E-10    6.3075649431E-08   -4.7388832731E-01
       250    1.5649744903E-11    4.0215475394E-10    6.2097388645E-08   -4.7388832728E-01
       251    1.5397049608E-11    3.9595382528E-10    6.1134382159E-08   -4.7388832726E-01
       252    1.5150373623E-11    3.8984732109E-10    6.0186391928E-08   -4.7388832723E-01
       253    1.4906938806E-11    3.8383379808E-10    5.9253183895E-08   -4.7388832721E-01
       254    1.4662462185E-11    3.7791192398E-10    5.8334527304E-08   -4.7388832719E-01
       255    1.4419027368E-11    3.7208086612E-10    5.7430195509E-08   -4.7388832716E-01
       256    1.4195271067E-11    3.6633818201E-10    5.6539964931E-08   -4.7388832714E-01
       257    1.3967926331E-11    3.6068370513E-10    5.5663615715E-08   -4.7388832712E-01
       258    1.3742317934E-11    3.5511577012E-10    5.4800931344E-08   -4.7388832709E-01
       259    1.3522844604E-11    3.4963199003E-10    5.3951698783E-08   -4.7388832707E-01
       260    1.3291795676E-11    3.4423308648E-10    5.3115708203E-08   -4.7388832705E-01
       261    1.3088412426E-11    3.3891606188E-10    5.2292753066E-08   -4.7388832703E-01
       262    1.2878315330E-11    3.3368041663E-10    5.1482630119E-08   -4.7388832701E-01
       263    1.2665324335E-11    3.2852531806E-10    5.0685139292E-08   -4.7388832699E-01
       264    1.2473053659E-11    3.2344876777E-10    4.9900083402E-08   -4.7388832697E-01
       265    1.2255085157E-11    3.1845015513E-10    4.9127268859E-08   -4.7388832695E-01
       266    1.2075200370E-11    3.1352792584E-10    4.8366504462E-08   -4.7388832693E-01
       267    1.1868228686E-11    3.0868135825E-10    4.7617602310E-08   -4.7388832691E-01
       268    1.1687070584E-11    3.0390845396E-10    4.6880377628E-08   -4.7388832689E-01
       269    1.1493758104E-11    2.9920937950E-10    4.6154648090E-08   -4.7388832687E-01
       270    1.1312136978E-11    2.9458213646E-10    4.5440234584E-08   -4.7388832685E-01
       271    1.1129011024E-11    2.9002578117E-10    4.4736960537E-08   -4.7388832683E-01
       272    1.0947968678E-11    2.8553925890E-10    4.4044652201E-08   -4.7388832681E-01
       273    1.0780469781E-11    2.8112212558E-10    4.3363138710E-08   -4.7388832680E-01
       274    1.0608919425E-11    2.7677182768E-10    4.2692251640E-08   -4.7388832678E-01
       275    1.0433317610E-11    2.7248919787E-10    4.2031825272E-08   -4.7388832676E-01
       276    1.0264429641E-11    2.6827162714E-10    4.1381696533E-08   -4.7388832674E-01
       277    1.0104107615E-11    2.6411905996E-10    4.0741704625E-08   -4.7388832673E-01
       278    9.9495733870E-12    2.6003049713E-10    4.0111691767E-08   -4.7388832671E-01
       279    9.7743188396E-12    2.5600477294E-10    3.9491502147E-08   -4.7388832669E-01
       280    9.6282347982E-12    2.5204066612E-10    3.8880982631E-08   -4.7388832668E-01
       281    9.4710381831E-12    2.4813784361E-10    3.8279982489E-08   -4.7388832666E-01
       282    9.3286583328E-12    2.4429469558E-10    3.7688353097E-08   -4.7388832665E-01
       283    9.1700726460E-12    2.4051111103E-10    3.7105948442E-08   -4.7388832663E-01
       284    9.0234098247E-12    2.3678498051E-10    3.6532624688E-08   -4.7388832662E-01
       285    8.8809142185E-12    2.3311708119E-10    3.5968240194E-08   -4.7388832660E-01
       286    8.7444379230E-12    2.2950502609E-10    3.5412655524E-08   -4.7388832659E-01
       287    8.6070355798E-12    2.2594892624E-10    3.4865733404E-08   -4.7388832657E-01
       288    8.4623406100E-12    2.2244744935E-10    3.4327338914E-08   -4.7388832656E-01
       289    8.3265588504E-12    2.1899959624E-10    3.3797338990E-08   -4.7388832654E-01
       290    8.1998060570E-12    2.1560553343E-10    3.3275602628E-08   -4.7388832653E-01
       291    8.0692333163E-12    2.1226292946E-10    3.2762001053E-08   -4.7388832652E-01
       292    7.9437538385E-12    2.0897228392E-10    3.2256407433E-08   -4.7388832650E-01
       293    7.8062357393E-12    2.0573248660E-10    3.1758696820E-08   -4.7388832649E-01
       294    7.6931421509E-12    2.0254231625E-10    3.1268746392E-08   -4.7388832648E-01
       295    7.5644215058E-12    1.9940155083E-10    3.0786928026E-08   -4.7388832646E-01
       296    7.4469291904E-12    1.9630896908E-10    3.0312654397E-08   -4.7388832645E-01
       297    7.3318677505E-12    1.9326445999E-10    2.9845775353E-08   -4.7388832644E-01
       298    7.2097451960E-12    1.9026669129E-10    2.9386175440E-08   -4.7388832643E-01
       299    7.0959570718E-12    1.8731521889E-10    2.8933741284E-08   -4.7388832641E-01
       300    6.9820531917E-12    1.8440965421E-10    2.8488360961E-08   -4.7388832640E-01
       301    6.8744001342E-12    1.8154827641E-10    2.8049924597E-08   -4.7388832639E-01
       302    6.7684834163E-12    1.7873169611E-10    2.7618323963E-08   -4.7388832638E-01
       303    6.6608303588E-12    1.7595747082E-10    2.7193452314E-08   -4.7388832637E-01
       304    6.5473895026E-12    1.7322704382E-10    2.6775204808E-08   -4.7388832636E-01
       305    6.4550162339E-12    1.7053869428E-10    2.6364118620E-08   -4.7388832635E-01
       306    6.3427329374E-12    1.6789153401E-10    2.5959684042E-08   -4.7388832634E-01
       307    6.2460766976E-12    1.6528572955E-10    2.5561554734E-08   -4.7388832632E-01
       308    6.1422435873E-12    1.6271983760E-10    2.5169632279E-08   -4.7388832631E-01
       309    6.0487127589E-12    1.6019380267E-10    2.4783819920E-08   -4.7388832630E-01
       310    5.9578443179E-12    1.5770657003E-10    2.4404022434E-08   -4.7388832629E-01
       311    5.8588729586E-12    1.5525830621E-10    2.4030145877E-08   -4.7388832628E-01
       312    5.7661524220E-12    1.5284729038E-10    2.3662098081E-08   -4.7388832627E-01
